Validacao-humana,Base-sentimento,Stev-sentimento,cidade,texto_limpo
POSITIVO,NEGATIVO,POSITIVO,Lisboa,"ótimo lugar, bem centralizado perto de tudo."
POSITIVO,NEGATIVO,POSITIVO,Lisboa,"Amei o local! Recomendo a todos que desejam visitar Portugal preço acessível , lugar limpo , espaçoso"
POSITIVO,POSITIVO,POSITIVO,Lisboa,"Bruno foi um ótimo anfitrião. Não tivemos problema em encontrar o local com as explicações que ele nos enviou. Tambem recomendou o que fazer em Lisboa o que, infelizmente, não conseguimos aproveitar pelo curto período que ficamos. O ambiente estava limpo e aconchegante. Próximo tem vários restaurantes bem família. Mesmo com a reforma na rodovia próxima, conseguimos Uber com facilidade bem próximo do local. Recomendo e espero voltar para conseguir realmente conhecer Lisboa e a região."
POSITIVO,NEGATIVO,POSITIVO,Lisboa,Obrigado Daciano. Tudo óptimo. Para repetir. Um forte abraço
POSITIVO,POSITIVO,POSITIVO,Lisboa,Apartamento muito bem ubicado. Comunicação rápida e fluida.
POSITIVO,NEGATIVO,POSITIVO,Lisboa,"O apartamento é incrível. É maior do que parece nas fotos. É lindo e cheio de cuidados. Fomos recebidos com uma garrafa de vinho e pastéis de nata, além de ter café a disposição. A anfitriã foi maravilhosa ao nos ajudar para subir as escadas com a bagagem. As respostas são rápidas e a anfitriã é muito simpática. As camas são excelentes. O chuveiro é ótimo. O aquecedor de toalhas é um diferencial incrível. A roupa de cama e as toalhas estavam muito bem limpas. Eu voltaria a ficar nesse apartamento e indicaria para amigos. A localização é ótima. Fácil de chegar e perto de muitos pontos turísticos."
POSITIVO,NEGATIVO,POSITIVO,Lisboa,"Excelente espaço. Silencioso e todo equipado adequadamente tanto para quem veio a turismo quanto a trabalho. O jardim com uma laranjeira, alfaces e temperos a serem colhidos na hora, acrescentam charme e praticidade para quem aprecia cozinhar. Miguel, responsável pelo check in e pela interação conosco em toda a nossa estadia foi extremamente atencioso! Super recomendo! ! ! Observação em relação à localização: Para quem deseja estar próximo de opções de transporte público, tem que estar pronto para descer e subir ladeiras."
POSITIVO,POSITIVO,POSITIVO,Lisboa,"O apartamento de Teresa é exatamente como na descrição e nas fotos. Ambiente bem tranquilo mesmo sendo compartilhado, no caso de quem reserva apenas um quarto. Estava tudo limpo e a localização é ótima pra quem chega a Sintra de trem."
POSITIVO,POSITIVO,POSITIVO,Lisboa,Gostamos muito da estadia no apt. Ficamos por dias e vamos indicar aos amigos do Brasil. Abrs.
POSITIVO,POSITIVO,POSITIVO,Lisboa,"Anfitriões extremamente atenciosos e solícitos. Em tudo que foi necessário nos auxiliaram com muita presteza. Local magnífico, extremamente limpo e organizado, além de decoração de ótimo gosto"
POSITIVO,POSITIVO,POSITIVO,Lisboa,"Foi rápida nas respostas e objetiva. Apartamento bem localizado e limpo, próximo praça do comércio"
POSITIVO,POSITIVO,POSITIVO,Lisboa,"Uma estadia maravilhosa, tudo excelente e com o Rui sempre a acompanhar tudo. Apartamento muito bom e bem localizado com todas as condições"
POSITIVO,POSITIVO,POSITIVO,Lisboa,"Nossa experiência foi incrível! O apartamento é muito bem localizado, a cozinha é bem completa, banheiro limpo e organizado, o quarto é bem aconchegante e há uma diversidade de pontos turísticos nas proximidades. O Samuel foi muito receptivo e nos deu várias dicas de passeio, alimentação e transporte. Esperamos voltar em breve! 🌻"
POSITIVO,NEUTRO,POSITIVO,Lisboa,Mónica nos cuida e está muita a nossa escuta Agradeço muito
POSITIVO,NEGATIVO,POSITIVO,Lisboa,"Passamos dias em novembro/ , pessoas, e o espaço de Ling superou as expectativas de todos. Excelente localização, próximo a vários pontos turísticos. Apartamento limpo, cheiroso, amplo e bem decorado. muito aconchegante. Perto de supermercado, metro, trem, ônibus e muito próximo a restaurantes e bares e o Mercado da Ribeira. A km do aeroporto, podendo ir de metro. Atrações de Lisboa são de fácil acesso. Algumas a pé e as mais distantes por transporte público. Wi-Fi bom. O chuveiro é muito bom, água bem quente. Cama confortável. Lençol e toalhas cheirosas. Ling é muito agradável. este espaço é ideal para pessoas."
POSITIVO,POSITIVO,POSITIVO,Lisboa,"Ótima comunicação, eles foram flexíveis com o check-in e sempre muito simpático. Pequeno almoço simples, mas suficiente. Ótimo localização e espaço muito aconchegante. voltarei com certeza."
POSITIVO,POSITIVO,POSITIVO,Lisboa,"Foi incrível os dias que passei no apartamento e Paulo sempre foi prestativo com minhas duvidas e perguntas. Local muito tranquilo de barulho, mas nao fiz nada nos arredores, não sei dizer o que tem proximo pois sempre saia de uber por estar com minha bebê. Mas sobre o apartamento tava tudo como descrito e ainda colocou um berço e cadeira de alimentação para minha filha. Super recomendo"
POSITIVO,NEGATIVO,POSITIVO,Lisboa,"Foi tudo perfeito, desde a localização, acomodação e quanto prestativa a Cristiana foi. Só tenho coisas boas a falar, voltaria a ficar nesse Airbnb sem sobra de dúvidas! Gratidão infinita Cristiana e até breve…"
POSITIVO,NEGATIVO,POSITIVO,Lisboa,o Espaco do Miguel e Ines e um lugar muito acolhedor um lar fora de casa sinto me muito bem estar la sempre que vou a portugal
POSITIVO,NEGATIVO,POSITIVO,Lisboa,"Foi uma óptima experiência! A localização é muito boa, com muitos transportes, supermercado perto e o rio encantador! . . . . O barco é pequeno, mas tem tudo muito funcional e super limpo. A cama é muito boa. Gostei muito, para repetir! O Gustavo é muito prestável. As casas de banho da marinha são agradáveis e limpas."
POSITIVO,NEGATIVO,POSITIVO,Lisboa,"Pedro é um anfitrião prestativo, o espaço é muito agradável, silencioso e limpo. Certamente voltarei sempre que surgir a oportunidade. Muito obrigado, Pedro!"
POSITIVO,NEGATIVO,POSITIVO,Lisboa,A minhã stadia foi boa o lugar e limpo e bonito bem organizado. E recomendaria a outras pessoas
POSITIVO,NEGATIVO,POSITIVO,Lisboa,"excelente estadia, a casa tinha todas as comodidades e a Liliana e o Tiago foram muito prestáveis."
POSITIVO,POSITIVO,POSITIVO,Lisboa,"Recomendo a todos, um casal maravilhoso, tudo limpinho, a roupa de cama estava com um cheirinho muito bom, lugar tranquilo e limpo. Recomendo, voltarei mais vezes ."
POSITIVO,POSITIVO,POSITIVO,Lisboa,"Apartamento muito bonito e caprichoso, completo. Região tranquila e com boas opções de mercados/restaurantes."
POSITIVO,NEGATIVO,POSITIVO,Lisboa,"O apartamento é muito agradável, a localização fantástica, numa rua tranquila no centro histórico de Cascais, próximo de lojas, restaurantes, etc. O acompanhamento e o cuidado da Lúcia e sua família são fantásticos! Ficamos muito satisfeitos e recomendamos fortemente! Esperamos repetir a experiência no futuro. Great flat, centrally located on a quiet street close to shops, restaurants and other facilities. The host family are extremely welcoming and helpful. Highly recommended."
POSITIVO,NEGATIVO,POSITIVO,Lisboa,Otima estadia. Apartamento amplo e con tudo o que era preciso. Checkin prático. Vista pro mar.
POSITIVO,NEGATIVO,POSITIVO,Lisboa,"Localização boa, comunicação fácil e rápida com anfitriã."
POSITIVO,POSITIVO,POSITIVO,Lisboa,"Localização bem boa, acesso fácil para metro. Bom custo benefício. Indicado."
POSITIVO,NEGATIVO,POSITIVO,Lisboa,"Boa comunicação, local calmo e seguro."
POSITIVO,NEGATIVO,POSITIVO,Lisboa,"Estadia foi ótima, o lugar era melhor do que esperávamos, com certeza voltaremos."
POSITIVO,POSITIVO,POSITIVO,Rio de Janeiro,"apto bom, como anunciado. localização boa para fazer passeios. box do banheiro é estreito, como gestante foi um pouco incômodo tomar banho. Internet boa, ótimo custo benefício"
POSITIVO,NEGATIVO,POSITIVO,Rio de Janeiro,"Tudo muito otimo, sem nenhuma reclamação"
POSITIVO,NEGATIVO,POSITIVO,Rio de Janeiro,"Fui recebida com muita simpatia pela Valéria. O quarto estava bem arrumado, decorado e muito organizado. Minha viagem foi por motivos profissionais, então fiquei pouco tempo, mas com certeza voltaria e indico a Valéria de olhos fechados. Gostaria de destacar o que ela me ajudou muito. . . Eu iria participar de uma reunião, precisava passar meu vestido que acabou amassando na mala. Perguntei se ela não poderia me emprestar um ferro para passar ele e prontamente ela arrumou um ferro e tábua de passar com um amigo vizinho e me emprestou, rs. . . Uma gentileza que poucas pessoas fazem hoje em dia. Muito grata por tudo, Valéria! E espero vê-la de novo."
POSITIVO,NEGATIVO,POSITIVO,Rio de Janeiro,"Excelente apartamento para um casal. Bem decorado, bem equipado e bem localizado. minutos a pé da praia de. Copacabana. Me senti em casa. Voltarei com certeza."
POSITIVO,NEGATIVO,POSITIVO,Rio de Janeiro,"Apartamento adorável ! Excelente localização, pertinho do mar, com muito botecos, mercados e restaurantes ao redor, em frente a estação do metrô, portaria hs, ótimo espaço e guarnecido com tudo o que é necessário para uma hospedagem na cidade maravilhosa. Gostamos muito de tudo ! Na próxima viagem ao RJ, pretendemos nos hospedar novamente. Recomendamos !"
POSITIVO,POSITIVO,POSITIVO,Rio de Janeiro,"Ótima estadia, apartamento limpo, muito bonito e bem aconchegante. Porteiro horas, muito atenciosos e muito seguro. A localização é excelente, perto de tudo! Não há reclamações, supre todas as expectativas, realmente. Anfitriã sempre solicita e muito educada. Com certeza, retornaremos. Gratidão"
POSITIVO,NEGATIVO,POSITIVO,Rio de Janeiro,"A casa é super bem equipada e correspondeu ao anúncio. A localização é ótima, a quarteirões da praia e próximo a supermercados, bares e restaures! A comunicação com o Luiz foi perfeita e ele nos ajudou em tudo que precisamos. Recomendo!"
POSITIVO,NEGATIVO,POSITIVO,Rio de Janeiro,"Host super atenciosa, solicita. Otima acomodação"
POSITIVO,NEGATIVO,POSITIVO,Rio de Janeiro,"Local limpo, espaçoso, perto da praia. Recomendo de olhos fechados"
POSITIVO,NEGATIVO,POSITIVO,Rio de Janeiro,"Gostei muito da estadia. O apartamento é exatamente como nas fotos, ideal para pessoa ou um casal. A localização é excelente, perto da praia, muitas opções de restaurantes legais próximos. A comunicação com a Nadja foi ótima, super recomendo a estadia : -"
POSITIVO,POSITIVO,POSITIVO,Rio de Janeiro,"Henrique super atencioso, o apartamento aconchegante e tem tudo que seja necessário. Ótima localização com absolutamente tudo bem próximo. Super recomendo! !"
POSITIVO,POSITIVO,POSITIVO,Rio de Janeiro,"Monique foi super agradável desde o momento da reserva ao check-out. O apartamento é lindo, exatamente como nas fotos. O bairro é bem tranquilo, tem supermercados e bares/restaurantes ao redor, localização boa demais. Estava super limpo e nos sentimos em casa, foi uma ótima experiência!"
NEUTRO,POSITIVO,POSITIVO,Rio de Janeiro,"Muito bom! Só precisa ter mais organização no horário da limpeza. Mas o restante, tudo certo."
NEUTRO,POSITIVO,POSITIVO,Rio de Janeiro,"O apto corresponde as fotos, no geral estava limpo com exceção de partes com mofo no banheiro e sujeira no filtro do ar. Só pensei em checar na última noite pois acordei espirrando de manhã. Ambiente agradável, janela ampla com luz, prédio antigo mas tranquilo. A rua é tranquila e central, tem todo o básico a poucos metros do apto. No geral foi uma boa estadia."
POSITIVO,POSITIVO,POSITIVO,Rio de Janeiro,"O apartamento reflete exatamente as descrições. Além de ser super limpo, bem equipado e organizado. A localização faz a diferença. . . Tudo perto: supermercado, padaria, bares, praias, metrô, Bike Rio. Além disso, a Larissa é muito prestativa, super educada e está sempre pronta pra tirar as dúvidas e atender os nossos pedidos. . . Voltaremos com certeza! = -"
POSITIVO,NEGATIVO,POSITIVO,Rio de Janeiro,"Apartamendo perto das principais atrações do centro, Elisabete sempre muito prestativa do início até o final da estadia. Super recomendo."
POSITIVO,NEGATIVO,POSITIVO,Rio de Janeiro,"Apartamento em otimo estado, fica proximo ao Metrô Gloria facilitando o acesso a outros locais. Adorei em tudo no geral!"
POSITIVO,NEGATIVO,POSITIVO,Rio de Janeiro,"Hospedagem maravilhosa, uma ótima localidade , fácil acesso !"
POSITIVO,NEGATIVO,POSITIVO,Rio de Janeiro,"O Apartamento da Luana é excepcional. Muito bem localizado - Praia, Metro, Restaurantes - , é confortável e tem tudo que você precisa! Com certeza voltaria a me hospedar!"
POSITIVO,NEGATIVO,POSITIVO,Rio de Janeiro,Ótima estadia! Descrição do anúncio correspondia exatamente ao que era o Flat e o anfitrião foi rápido para responder a todos meus questionamentos.
POSITIVO,NEGATIVO,POSITIVO,Rio de Janeiro,"apartamento muito aconchegante, me senti muito a vontade, fica perto de tudo, Laís muito simpática e os gatinhos são fofos, com certeza voltarei mais vezes! ! ! amei"
POSITIVO,NEGATIVO,POSITIVO,Rio de Janeiro,Otima localização
POSITIVO,POSITIVO,POSITIVO,Rio de Janeiro,"O apartamento fica localizado em um prédio antigo o que acaba gerando um charme a mais na acomodação. Ter dois banheiros também ajudou muito, visto que nós hospedamos em pessoas. A localização é excelente, perto de metrô, mercado e praia."
POSITIVO,POSITIVO,POSITIVO,Rio de Janeiro,"Responde muito rápido, quarto muito limpo e espaçoso. Tem sabonete liquido para mãos e uma garrafa de água de cortesia. Bela vista!"
POSITIVO,NEGATIVO,POSITIVO,Rio de Janeiro,"A estadia foi ótima! tudo limpo e super organizado. Leonardo, foi bem atencioso e proativo, com certeza voltarei mais vezes."
POSITIVO,NEGATIVO,POSITIVO,Rio de Janeiro,adorei a estadia estava tudo conforme o anúncio. Ricardo sempre responde rapidamente voltarei mais vezes
POSITIVO,NEGATIVO,POSITIVO,Rio de Janeiro,"Soraya é uma anfitrião incrível, extremamente profissional, educada e atenciosa. A localização do Flat é maravilhosa, lugar mega gostoso e agradável, super recomendo, aliás irei indicar pra muitas pessoas e se Deus quiser voltarei. Soraya, só gratidão e que Deus continue abençoando sua vida ❣️"
POSITIVO,NEGATIVO,POSITIVO,Rio de Janeiro,"Boa opção em Copacabana. Perto de tudo! Porteiros, moradores e host muito amáveis!"
POSITIVO,POSITIVO,POSITIVO,Rio de Janeiro,"O apartamento é espaçoso, limpo e aconchegante. Luciana é uma anfitriã muito atenciosa!"
POSITIVO,POSITIVO,POSITIVO,Rio de Janeiro,"Gustavo foi super receptivo e muito prestativo durante nossa estadia. O apartamento é super fofo e bem cuidado, tudo reformado. Limpo, bem localizado, uma excelente opção de custo-benefício."
POSITIVO,POSITIVO,POSITIVO,Rio de Janeiro,"Nossa estadia foi maravilhosa, ap super aconchegante e lindo. Muito bem localizado, farmácias, mercadinhos, restaurantes, tudo na mesma calçada ou em frente. Amamos!"
NEUTRO,POSITIVO,POSITIVO,Rio de Janeiro,"João e sua esposa foram bem flexíveis em relação ao nosso check-in e check-out. A nossa estadia foi tranquila, mas um único ponto negativo é que conseguíamos ouvir todos os vizinhos. Tirando isso, a localização é boa: perto do metrô, da praia e do centrinho."
POSITIVO,POSITIVO,POSITIVO,Rio de Janeiro,"Nossa estadia foi ótima. Excelente custo/benefício, não estava perfeitamente limpo na chegada mas isso não prejudicou nossa estadia. Daniel nos atendeu sempre muito bem, foi solícito e claro nas suas instruções. O espaço é bem localizado, perto da praia e perto da Feira do Terreirão. Enfim, foi uma boa estadia."
POSITIVO,POSITIVO,POSITIVO,Rio de Janeiro,Anfitriões muito atenciosos e apartamento com localização perfeita. Quartos muito aconchegantes com ar condicionado potentes.
POSITIVO,POSITIVO,POSITIVO,Rio de Janeiro,"Fiquei com a minha mãe no apartamento da Denise por dias. A experiência foi ótima! O quarto é super confortável, com banheiro, tudo limpo e o ar condicionado maravilhoso. A Denise foi uma ótima anfitriã, deu várias dicas, sempre prestativa e fez de tudo pra gente se sentir em casa! A localização também é ótima, perto de supermercados, bares e uns minutos da praia. Voltaremos com certeza!"
POSITIVO,POSITIVO,POSITIVO,Rio de Janeiro,"Minha estadia neste apartamento foi excelente! O lugar é exatamente como nas fotos — limpo, bem equipado e muito aconchegante. A localização também é ótima, com fácil acesso a tudo o que eu precisava. Gostaria de destacar especialmente a atenção e simpatia do Bernardo, que foi extremamente prestativo e atencioso durante toda nossa estadia. Recomendo e voltaria com certeza."
POSITIVO,POSITIVO,POSITIVO,Rio de Janeiro,Excelente estadia. Cumpre o que promete. Anfitriã bastante receptiva e nos ajudou em tudo que precisávamos. O condomínio tem ótimos funcionários e bastante segurança.
POSITIVO,POSITIVO,POSITIVO,Rio de Janeiro,"O Studio atendeu minhas necessidades. Próximo a praia, metrô, fácil acesso a táxi ou Uber. A Marilene foi muito atenciosa e fez de tudo para tornar a estadia mais agradável. Ótimo custo benefício."
POSITIVO,NEGATIVO,POSITIVO,Rio de Janeiro,"Apartamento em local ótimo , limpo , ótimo para passar o fds , pequeno porém moderno ! ! !"
POSITIVO,POSITIVO,POSITIVO,Rio de Janeiro,Ficamos hospedados durante o rockinrio e foi uma excelente hospedagem. quartos bem Equipados e área social tbm mto espaçosa. Mto próximo a praia e de mercados e farmácia.
POSITIVO,NEGATIVO,POSITIVO,Rio de Janeiro,"Lugar maravilhoso. A localização é privilegiada, não tive problemas com transporte público. A Maria foi um amor."
POSITIVO,POSITIVO,POSITIVO,Rio de Janeiro,Foi ótimo!
POSITIVO,NEGATIVO,POSITIVO,Rio de Janeiro,"Apartamento excelente e o hóspede super prestativo. na chegada, Ronney deixa uma cortesia super bacana de comes e bebes. apto confortável, atendendo a todas as informações do anúncio e é muito bem localizado."
POSITIVO,POSITIVO,POSITIVO,Rio de Janeiro,"O apartamento é enorme e super confortável - melhor do que nas fotos - . Tem tudo que precisamos e mais um pouco e fica pertinho das praias de Copacabana e Ipanema, sem contar supermercado, padaria, farmácia etc. O Fernando é super simpático, gentil e prestativo e nos deixou muito à vontade. Sempre que voltar ao Rio espero conseguir me hospedar no mesmo lugar. Recomendo de olhos fechados."
POSITIVO,POSITIVO,POSITIVO,Rio de Janeiro,Muito bom. Recomendo! !
POSITIVO,NEGATIVO,POSITIVO,Rio de Janeiro,"Fui para um show na Farmasi Arena e o apartamento é muito bem localizado, praticamente na frente da Arena. A Marli foi muito solicita nos horários de check in e check out. Comunicação excelente. Apartamento conforme anunciado."
POSITIVO,POSITIVO,POSITIVO,Rio de Janeiro,"Excelente acomodação. Apartamento muito novo, muito bem mobiliado e muito bem localizado. Atendimento excelente do Yuri. Nota . Recomendo e com certeza voltarei."
POSITIVO,NEGATIVO,POSITIVO,Rio de Janeiro,Otimo espaço no Leme! !
POSITIVO,NEGATIVO,POSITIVO,Rio de Janeiro,"A estadia foi um sucesso, apt bem localizado - m de uma estação de metrô - , Alvar responde super rápido, as fotos estão de acordo com o local, vale a pena"
POSITIVO,POSITIVO,POSITIVO,Rio de Janeiro,Apartamento extremamente limpo e organizado. Muito espaçoso e bonito. Anfitriões sempre dispostos e retornam rápido. Com certeza retornaremos!
NEGATIVO,POSITIVO,NEGATIVO,Lisboa,"Acabamos não ficando neste apto porque o calor era muito em Lisboa quando chegamos e como não tinha ar condicionado e a recomendação da anfitriã era de que não podíamos dormir de janelas abertas por conta da segurança, isso se tornou um grande empecilho pra nossa estadia. Tivemos que procurar rapidamente um outro Air BnB e arcar com o prejuizo do cancelamento em cima da hora. . ."
NEGATIVO,NEGATIVO,NEGATIVO,Lisboa,"Não sei de quem é a responsabilidade, do Pedro ou do Airbnb. O que sei é que fui obrigado a ficar em um espaço que NÃO reservei. O fato de eu ter enviado uma msg ao Pedro pedindo explicação sobre o preço - no anúncio, o preço vinha com desconto, mas na plataforma não havia desconto - foi considerado pelo Pedro e pelo Airbnb como RESERVA. Aí está o MAIS GRAVE DE TUDO. O cartão de crédito da minha mulher foi usado, sem minha autorização, para garantir a reserva que NÃO fiz. Isso PORQUE o Airbnb GUARDOU o número do cartão e considerou a reserva feita, sem minha autorização. Pior ainda, para que eu fosse reembolsado eu teria de pedir - quem sabe implorar - ao Pedro. Como já estava cansado de passar toda a manhã mudando do imóvel anterior, também alugado pelo Airbnb, mas com vazamento de água na cozinha, e dando explicações à atendente do Airbnb, quase implorando para cancelar a reserva que não fiz, acabei optando por ficar a contragosto no imóvel do Pedro. Experiência terrível."
NEGATIVO,POSITIVO,NEGATIVO,Lisboa,"A localização é excelente assim como o quarto, muito confortável e limpo. O banheiro por ser compartilhado também é muito limpo, todas as manhãs vi funcionárias limpando, a equipe é muito gentil e solícita, no entanto precisa de reformar nas áreas compartilhadas, principalmente no banheiro feminino. O teto estava com infiltrações e caíram partes dele duas vezes, a cozinha também faltam utensílios básicos, só haviam duas canecas e dois pratos fundos, falta investimento na cozinha e banheiros."
NEUTRO,POSITIVO,NEGATIVO,Lisboa,"O apartamento está bem mobiliado e equipado, é confortável e totalmente compatível com as informações no anúncio. Tivemos alguns problemas com o elevador que não funcionava para nosso andar. A localização é central e há opções de cafés e mercados próximo, ainda assim tivemos problemas com táxis e vimos usuários de drogas circulando durante a noite e de manhã cedo, o que dava alguma sensação de insegurança. Ainda assim, de faro, não tivemos nenhum problema. Em relação ao atendimento, não tivemos flexibilidade para entrada e saída e havia custo extra para deixar as malas guardadas no escritório."
NEUTRO,POSITIVO,NEGATIVO,Lisboa,"Excelente, em tudo, exceto quanto a um pequeno vazamento, que molha o banheiro. Situação complicada, por não haver tapete de banheiro para substituição."
NEUTRO,NEGATIVO,NEGATIVO,Lisboa,"O apartamento é ótimo e ok para pessoas. Para o que precisávamos para estar próximo a Arena Altice foi espetacular e próximo acesso ao metro e mercado! ! Também o Uber para o centro pode custar apenas €! O único inconveniente é que o apartamento necessita de uma manutenção no banheiro. O chuveiro não funciona bem e há muito desperdício de água, inclusive na cozinha. Mas espero que possam arrumar em breve! Também não houve flexibilidade no checkin e checkout, nem para deixar as malas… o que em outros lugares podemos conseguir! Com duas crianças e uma mala média, não é fácil se acomodar… um pouco de flexibilidade seria genial! !"
NEUTRO,NEGATIVO,NEGATIVO,Lisboa,"A estadia foi boa, mas se vc estiver com malas grandes e pesadas, muito difícil para subir as escadas e ter o acesso ao apartamento. Poderia ter um microondas, apesar de ter um forno, o microondas para aquecer a comida pronta, seria melhor e mais pratico. Se você chegar tarde no local, não pode deixar de levar pelo menos uma pequena garrafa de água, pois a hospedagem não oferece nada. - apesar de não ser obrigação - apenas por gentileza, pois tem muitas ruas e você pode demorar para buscar no supermercado e se for como no dia que chegamos, chovia muito, tivemos dificuldade. Mas como usamos apenas para dormir, atendeu as nossas necessidades. Mas enfim, a estadia foi razoável , pelo preço que pagamos poderia ter sido melhor e a limpeza deixou um pouco a desejar"
NEUTRO,NEGATIVO,NEGATIVO,Lisboa,"Muito bom. Apenas a escada de acesso é ruim, pois tem degraus muito altos, inapropriados para quem tem malas pesadas ou idosos. Fora isso, muito boa opção."
NEUTRO,NEGATIVO,NEGATIVO,Lisboa,o apartamento é incrível. no entanto as escadas até ao mesmo são miseráveis. tinha baratas mortas nas escadas até ao ° andar.
NEUTRO,POSITIVO,NEGATIVO,Lisboa,"Excelente localização, perto do metro, de um supermercado e com vários restaurantes à volta. Espaço acolhedor, renovado e atual. Ponto fraco: o isolamento sonoro não é o melhor e com um quarto perto dos elevadores, ouvi vários clientes a chegar ao hostel durante a noite, assim como durante o dia."
NEGATIVO,POSITIVO,NEGATIVO,Lisboa,"O prédio está em má condições, paredes com umidade e soltando. O prédio tem cheiro de esgoto e de lixo pois logo na entrada tem os contenedores de lixo. Os colchões não estão bom, precisam ser trocados. Queríamos outro cobertor e não tinha. Peter foi gentil e solicito, nos deu dicas. Apartamento localizado próximo a Av Liberdade."
